time,speed_north,speed_east,speed_up,North,East,Altitude
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:07:1625814479,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814480,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814480,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814480,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814480,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814480,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814480,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814480,0.0,0.0,-0.0,0.0,0.0,0.0
