time,speed_north,speed_east,speed_up,North,East,Altitude
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815148,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815149,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815150,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815151,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
16:19:1625815152,0.0,0.0,-0.0,0.0,0.0,0.0
