time,speed_north,speed_east,speed_forward,speed_right,speed_up,North,East,Forward,Right,Altitude,Heading
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067136,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89361664415844
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89343222905086
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89343222905086
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89343222905086
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89343222905086
14:18:1626067137,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89343222905086
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89343222905086
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89343222905086
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89315219129489
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89315219129489
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89315219129489
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89315219129489
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89315219129489
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89315219129489
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89315219129489
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89315219129489
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89315219129489
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89315219129489
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89315219129489
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89315219129489
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89283117240389
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89283117240389
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89283117240389
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89283117240389
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89283117240389
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89283117240389
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89283117240389
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89283117240389
14:18:1626067138,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,90.89283117240389
