time,speed_north,speed_east,speed_forward,speed_right,speed_up,North,East,Forward,Right,Altitude,Altitude_sensor,Heading,lat2,lat3
14:01:1626670907,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.71918943855424,37.50364183333308,37.50364183333308
14:01:1626670907,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.71918943855424,37.50364183333308,37.50364183333308
14:01:1626670907,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.71918943855424,37.50364183333308,37.50364183333308
14:01:1626670907,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.71918943855424,37.50364183333308,37.50364183333308
14:01:1626670907,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.71918943855424,37.50364183333308,37.50364183333308
14:01:1626670907,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.71918943855424,37.50364183333308,37.50364183333308
14:01:1626670907,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.71918943855424,37.50364183333308,37.50364183333308
14:01:1626670907,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.72310996713783,37.50364183333308,37.50364183333308
14:01:1626670907,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.72310996713783,37.50364183333308,37.50364183333308
14:01:1626670907,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.72310996713783,37.50364183333308,37.50364183333308
14:01:1626670907,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.72310996713783,37.50364216667016,37.50364216667016
14:01:1626670907,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.72310996713783,37.50364216667016,37.50364216667016
14:01:1626670907,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.72310996713783,37.50364216667016,37.50364216667016
14:01:1626670907,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.72310996713783,37.50364216667016,37.50364216667016
14:01:1626670907,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.72310996713783,37.50364216667016,37.50364216667016
14:01:1626670907,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.72759740142253,37.50364216667016,37.50364216667016
14:01:1626670907,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.72759740142253,37.50364216667016,37.50364216667016
